2012-07-20 10:21:35.387285	MA016	OFF
2012-07-20 10:21:35.408792	D003	CLOSE
2012-07-20 10:21:35.435255	M009	OFF
2012-07-20 10:21:35.470892	LS010	0
2012-07-20 10:21:35.491719	BATP010	0
2012-07-20 10:21:35.533026	BATV010	0
2012-07-20 10:21:35.567148	M010	OFF
2012-07-20 10:21:35.595054	LS011	0
2012-07-20 10:21:35.689765	BATP011	0
2012-07-20 10:21:35.750197	BATV011	0
2012-07-20 10:21:35.794417	M007	OFF
2012-07-20 10:21:35.889846	LS008	0
2012-07-20 10:21:35.934977	BATP008	0
2012-07-20 10:21:35.987369	BATV008	0
2012-07-20 10:21:36.056632	M008	OFF
2012-07-20 10:21:36.129343	LS009	0
2012-07-20 10:21:36.197997	BATP009	0
2012-07-20 10:21:36.269345	BATV009	0
2012-07-20 10:21:36.326362	M011	OFF
2012-07-20 10:21:36.3869	LS012	0
2012-07-20 10:21:36.459235	BATP012	0
2012-07-20 10:21:36.511428	BATV012	0
2012-07-20 10:21:36.555783	LS001	0
2012-07-20 10:21:36.589899	BATP001	0
2012-07-20 10:21:36.616244	BATV001	0
2012-07-20 10:21:36.637417	LS002	0
2012-07-20 10:21:36.659659	BATP002	0
2012-07-20 10:21:36.683462	BATV002	0
2012-07-20 10:21:36.704211	M001	OFF
2012-07-20 10:21:36.726406	LS016	0
2012-07-20 10:21:36.749971	BATP016	0
2012-07-20 10:21:36.770705	BATV016	0
2012-07-20 10:21:36.79607	T105	0
2012-07-20 10:21:36.819962	T104	0
2012-07-20 10:21:36.84077	LS003	0
2012-07-20 10:21:36.864246	BATP003	0
2012-07-20 10:21:36.885249	BATV003	0
2012-07-20 10:21:36.905711	M002	OFF
2012-07-20 10:21:36.92949	LS004	0
2012-07-20 10:21:36.95028	BATP004	0
2012-07-20 10:21:36.970694	BATV004	0
2012-07-20 10:21:36.994347	M003	OFF
2012-07-20 10:21:37.015126	LS005	0
2012-07-20 10:21:37.035558	BATP005	0
2012-07-20 10:21:37.064544	BATV005	0
2012-07-20 10:21:37.085259	M004	OFF
2012-07-20 10:21:37.108631	LS006	0
2012-07-20 10:21:37.12945	BATP006	0
2012-07-20 10:21:37.149796	BATV006	0
2012-07-20 10:21:37.17312	M005	OFF
2012-07-20 10:21:37.193879	LS007	0
2012-07-20 10:21:37.214182	BATP007	0
2012-07-20 10:21:37.237638	BATV007	0
2012-07-20 10:21:37.258316	MA013	OFF
2012-07-20 10:21:37.281749	LS013	0
2012-07-20 10:21:37.302628	BATP013	0
2012-07-20 10:21:37.322895	BATV013	0
2012-07-20 10:21:37.349187	M012	OFF
2012-07-20 10:21:37.369993	MA015	OFF
2012-07-20 10:21:37.390417	LS015	0
2012-07-20 10:21:37.413916	BATP015	0
2012-07-20 10:21:37.434634	BATV015	0
2012-07-20 10:21:37.454937	MA014	OFF
2012-07-20 10:21:37.478506	LS014	0
2012-07-20 10:21:37.499405	BATP014	0
2012-07-20 10:21:37.522849	BATV014	0
2012-07-20 10:21:37.543746	M006	OFF
2012-07-20 10:21:46.904243	T104	23
2012-07-20 10:21:46.982609	T105	26
2012-07-20 10:22:38.741361	T104	24
2012-07-20 10:23:02.437214	T102	76
2012-07-20 10:24:22.777329	T105	25
2012-07-20 10:26:14.26032	T102	80
2012-07-20 10:26:41.919236	D002	OPEN
2012-07-20 10:26:45.078553	D002	CLOSE
2012-07-20 10:26:45.560418	D002	OPEN
2012-07-20 10:26:46.773302	D002	CLOSE
2012-07-20 10:26:49.792284	D002	OPEN
2012-07-20 10:26:50.581003	D002	CLOSE
2012-07-20 10:26:59.018818	T104	25
2012-07-20 10:27:03.799191	T102	82
2012-07-20 10:27:15.060673	D002	OPEN
2012-07-20 10:27:16.248649	D002	CLOSE
2012-07-20 10:27:26.080662	D002	OPEN
2012-07-20 10:27:30.91253	D002	CLOSE
